date,0s_confirmed,10s_confirmed,20s_confirmed,30s_confirmed,40s_confirmed,50s_confirmed,60s_confirmed,70s_confirmed,80s_confirmed
2020-03-02,32,169,1235,506,633,834,530,192,81
2020-03-03,34,204,1417,578,713,952,597,224,93
2020-03-04,34,233,1575,631,790,1051,646,260,108
2020-03-05,38,257,1727,659,847,1127,699,288,124
2020-03-06,45,292,1877,693,889,1217,763,340,168
2020-03-07,52,327,2038,727,941,1287,830,384,191
2020-03-08,58,360,2133,760,975,1349,878,409,212
2020-03-09,66,381,2190,779,1005,1391,916,438,216
2020-03-10,67,393,2213,789,1030,1416,929,454,222
2020-03-11,75,405,2238,804,1082,1472,960,483,236
2020-03-12,76,412,2261,812,1101,1495,972,497,243
2020-03-13,77,421,2274,823,1117,1523,985,506,253
2020-03-14,81,424,2287,833,1133,1551,999,515,263
2020-03-15,83,427,2301,842,1141,1568,1012,525,263
2020-03-16,85,432,2313,849,1147,1585,1024,531,270
2020-03-17,86,436,2330,856,1164,1602,1033,539,274
2020-03-18,87,438,2342,873,1171,1615,1059,542,286
2020-03-19,91,444,2358,886,1181,1642,1080,562,321
2020-03-20,97,452,2365,893,1193,1656,1099,568,329
2020-03-21,99,457,2380,900,1203,1672,1118,589,381
2020-03-22,101,460,2396,909,1221,1691,1132,595,392
2020-03-23,103,460,2417,917,1228,1702,1139,599,396
2020-03-24,105,468,2438,921,1234,1716,1146,608,401
2020-03-25,105,475,2473,943,1246,1724,1154,611,406
2020-03-26,106,488,2508,955,1252,1738,1162,616,416
2020-03-27,108,496,2532,960,1256,1752,1170,630,428
2020-03-28,109,501,2567,978,1278,1780,1201,632,432
2020-03-29,111,508,2602,993,1292,1798,1210,635,434
2020-03-30,112,513,2630,1002,1297,1812,1218,640,437
2020-03-31,112,515,2656,1012,1312,1851,1235,651,442
2020-04-01,116,519,2682,1027,1323,1865,1245,658,452
2020-04-02,119,522,2704,1043,1336,1878,1258,663,453
2020-04-03,121,528,2734,1052,1350,1887,1266,668,456
2020-04-04,122,530,2761,1066,1358,1898,1282,678,461
2020-04-05,124,535,2789,1083,1370,1904,1289,681,462
2020-04-06,126,542,2804,1086,1375,1906,1294,686,465
2020-04-07,126,544,2819,1092,1382,1909,1304,689,466
2020-04-08,126,548,2832,1102,1387,1915,1312,692,470
2020-04-09,128,552,2844,1109,1394,1917,1314,692,473
2020-04-10,129,553,2851,1113,1396,1920,1320,694,474
2020-04-11,130,558,2856,1115,1399,1926,1327,694,475
2020-04-12,130,561,2869,1120,1400,1930,1330,697,475
2020-04-13,132,562,2879,1122,1401,1932,1335,698,476
2020-04-14,132,565,2886,1126,1405,1935,1338,700,477
2020-04-15,132,569,2895,1131,1408,1937,1339,702,478
2020-04-16,135,572,2900,1132,1410,1940,1341,703,480
2020-04-17,136,576,2909,1135,1411,1942,1342,704,480
2020-04-18,138,576,2918,1136,1412,1944,1343,705,481
2020-04-19,138,578,2921,1137,1412,1945,1343,705,482
2020-04-20,138,581,2926,1139,1412,1948,1343,705,482
2020-04-21,138,582,2928,1139,1413,1951,1343,706,483
2020-04-22,138,583,2931,1140,1417,1951,1344,707,483
2020-04-23,138,584,2933,1141,1418,1952,1344,708,484
2020-04-24,138,585,2934,1142,1418,1953,1345,708,485
2020-04-25,139,586,2937,1143,1420,1953,1347,708,485
2020-04-26,140,586,2940,1147,1421,1953,1347,708,485
2020-04-27,140,588,2943,1152,1422,1953,1347,708,485
2020-04-28,140,590,2948,1154,1423,1955,1348,709,485
2020-04-29,140,590,2951,1156,1426,1956,1348,709,485
2020-04-30,140,590,2952,1158,1427,1956,1348,709,485
2020-05-01,140,590,2957,1159,1429,1956,1348,709,486
2020-05-02,140,590,2960,1160,1430,1956,1349,709,486
2020-05-03,140,591,2962,1163,1432,1956,1351,710,488
2020-05-04,140,591,2964,1164,1435,1956,1353,710,488
2020-05-05,140,591,2964,1165,1436,1957,1353,710,488
2020-05-06,140,591,2964,1166,1436,1957,1354,710,488
2020-05-07,140,592,2966,1167,1436,1957,1354,710,488
2020-05-08,141,592,2967,1174,1438,1957,1355,710,488
2020-05-09,141,594,2979,1177,1438,1958,1355,710,488
2020-05-10,141,597,2998,1180,1442,1960,1357,711,488
2020-05-11,141,598,3019,1188,1446,1960,1358,711,488
2020-05-12,142,602,3029,1194,1448,1963,1358,711,489
2020-05-13,143,603,3042,1199,1450,1964,1359,712,490
2020-05-14,143,614,3056,1202,1451,1964,1359,712,490
