date,male_confirmed,female_confirmed
2020-03-02,1591,2621
2020-03-03,1810,3002
2020-03-04,1996,3332
2020-03-05,2149,3617
2020-03-06,2345,3939
2020-03-07,2522,4245
2020-03-08,2694,4440
2020-03-09,2799,4583
2020-03-10,2852,4661
2020-03-11,2947,4808
2020-03-12,2994,4875
2020-03-13,3043,4936
2020-03-14,3100,4986
2020-03-15,3136,5026
2020-03-16,3169,5067
2020-03-17,3200,5120
2020-03-18,3240,5173
2020-03-19,3296,5269
2020-03-20,3330,5322
2020-03-21,3387,5412
2020-03-22,3430,5467
2020-03-23,3457,5504
2020-03-24,3497,5540
2020-03-25,3550,5587
2020-03-26,3598,5643
2020-03-27,3638,5694
2020-03-28,3736,5742
2020-03-29,3799,5784
2020-03-30,3834,5827
2020-03-31,3905,5881
2020-04-01,3946,5941
2020-04-02,3979,5997
2020-04-03,4013,6049
2020-04-04,4052,6104
2020-04-05,4098,6139
2020-04-06,4118,6166
2020-04-07,4138,6193
2020-04-08,4163,6221
2020-04-09,4185,6238
2020-04-10,4200,6250
2020-04-11,4215,6265
2020-04-12,4229,6283
2020-04-13,4243,6294
2020-04-14,4256,6308
2020-04-15,4266,6325
2020-04-16,4272,6341
2020-04-17,4286,6349
2020-04-18,4293,6360
2020-04-19,4297,6364
2020-04-20,4302,6372
2020-04-21,4308,6375
2020-04-22,4314,6380
2020-04-23,4318,6384
2020-04-24,4323,6385
2020-04-25,4327,6391
2020-04-26,4333,6395
2020-04-27,4337,6401
2020-04-28,4344,6408
2020-04-29,4348,6413
2020-04-30,4352,6413
2020-05-01,4356,6418
2020-05-02,4362,6418
2020-05-03,4369,6424
2020-05-04,4375,6426
2020-05-05,4377,6427
2020-05-06,4379,6427
2020-05-07,4382,6428
2020-05-08,4389,6433
2020-05-09,4406,6434
2020-05-10,4430,6444
2020-05-11,4461,6448
2020-05-12,4481,6455
2020-05-13,4499,6463
2020-05-14,4516,6475
