date,male_confirmed,male_death,female_confirmed,female_death
2020-03-02,1591,13,2621,9
2020-03-03,1810,16,3002,12
2020-03-04,1996,20,3332,12
2020-03-05,2149,21,3617,14
2020-03-06,2345,25,3939,17
2020-03-07,2522,26,4245,18
2020-03-08,2694,29,4440,20
2020-03-09,2799,31,4583,20
2020-03-10,2852,33,4661,21
2020-03-11,2947,35,4808,25
2020-03-12,2994,38,4875,28
2020-03-13,3043,39,4936,28
2020-03-14,3100,41,4986,31
2020-03-15,3136,41,5026,34
2020-03-16,3169,41,5067,34
2020-03-17,3200,44,5120,37
2020-03-18,3240,45,5173,39
2020-03-19,3296,49,5269,42
2020-03-20,3330,51,5322,43
2020-03-21,3387,54,5412,48
2020-03-22,3430,55,5467,49
2020-03-23,3457,58,5504,53
2020-03-24,3497,60,5540,60
2020-03-25,3550,64,5587,62
2020-03-26,3598,68,5643,63
2020-03-27,3638,75,5694,64
2020-03-28,3736,77,5742,67
2020-03-29,3799,78,5784,74
2020-03-30,3834,80,5827,78
2020-03-31,3905,82,5881,80
2020-04-01,3946,84,5941,81
2020-04-02,3979,87,5997,82
2020-04-03,4013,92,6049,82
2020-04-04,4052,94,6104,83
2020-04-05,4098,97,6139,86
2020-04-06,4118,98,6166,88
2020-04-07,4138,101,6193,91
2020-04-08,4163,106,6221,94
2020-04-09,4185,107,6238,97
2020-04-10,4200,109,6250,99
2020-04-11,4215,111,6265,100
2020-04-12,4229,113,6283,101
2020-04-13,4243,115,6294,102
2020-04-14,4256,116,6308,106
2020-04-15,4266,118,6325,107
2020-04-16,4272,122,6341,107
2020-04-17,4286,122,6349,108
2020-04-18,4293,124,6360,108
2020-04-19,4297,124,6364,110
2020-04-20,4302,125,6372,111
2020-04-21,4308,125,6375,112
2020-04-22,4314,126,6380,112
2020-04-23,4318,127,6384,113
2020-04-24,4323,127,6385,113
2020-04-25,4327,127,6391,113
2020-04-26,4333,127,6395,115
2020-04-27,4337,127,6401,116
2020-04-28,4344,128,6408,116
2020-04-29,4348,129,6413,117
2020-04-30,4352,130,6413,117
2020-05-01,4356,130,6418,118
2020-05-02,4362,130,6418,120
2020-05-03,4369,130,6424,120
2020-05-04,4375,131,6426,121
2020-05-05,4377,131,6427,123
2020-05-06,4379,132,6427,123
2020-05-07,4382,133,6428,123
2020-05-08,4389,133,6433,123
2020-05-09,4406,133,6434,123
2020-05-10,4430,133,6444,123
2020-05-11,4461,133,6448,123
2020-05-12,4481,133,6455,125
2020-05-13,4499,134,6463,125
2020-05-14,4516,135,6475,125
